
Index	Nounce	Data	Hash	Prev. hash	Proof of Work
71	16811347	Tine:join	00000024815a4638ddbc41c2d3f36eb55a1bf9dfc8443bbb747dd7d6de39eded	00000065d25e2972e502db09b5475efb5f73ea947e22bf66325c175fff426195	true
72	9646573	Jens:join	00000065d25e2972e502db09b5475efb5f73ea947e22bf66325c175fff426195	000000a01c02106f73180b9b7b4c3791afba26a9ddd754a2da896f4d11d41f74	true
73	7448228	Daniel:join	000000a01c02106f73180b9b7b4c3791afba26a9ddd754a2da896f4d11d41f74	000000d0f11072ca0fb3c9838fc56f571097a34d7dfb5750f73471f0db168349	true
74	5156223	Anders:join	000000d0f11072ca0fb3c9838fc56f571097a34d7dfb5750f73471f0db168349	000000db273313ccef871d6258f16e9d3416963f2645b3cc848df6a007fa5401	true
75	3757689	Kristian:leave	000000db273313ccef871d6258f16e9d3416963f2645b3cc848df6a007fa5401	000000d3dfcaf039c9b5e98003da6b47aaf0caf5ad59473cb71a272d926967ab	true
76	7425395	Tine:leave	000000d3dfcaf039c9b5e98003da6b47aaf0caf5ad59473cb71a272d926967ab	0000008b7dc1cda538f991aac3d071931916d745259f4af02d041051edb22832	true
77	8004846	Jens:leave	0000008b7dc1cda538f991aac3d071931916d745259f4af02d041051edb22832	000000caa3248118ce695804266a3561a5daaaf0fa650bc0a537e2261b60967c	true
78	27893787	Emmely:join	000000caa3248118ce695804266a3561a5daaaf0fa650bc0a537e2261b60967c	000000ff717c70b2409f96fc83f9157ba972d9c5efa4a80ca2b88ee4537ebcdf	true
79	4488084	Kristian:join	000000ff717c70b2409f96fc83f9157ba972d9c5efa4a80ca2b88ee4537ebcdf	00000097b271053fd56a976ba8675924ef98d1f3e90c91ad34757de73c235301	true
7a	13046642	Helge:leave	00000097b271053fd56a976ba8675924ef98d1f3e90c91ad34757de73c235301	00000014bcd9f56c82c47d5962a270d1663f0389ca3af73804b20daf136849b1	true
7b	4594811	Anders:leave	00000014bcd9f56c82c47d5962a270d1663f0389ca3af73804b20daf136849b1	000000ab211f4633bc33cfced702ed8425ea3c7d1108f5aec5c40f117d570b22	true
7c	25574571	Tine:join	000000ab211f4633bc33cfced702ed8425ea3c7d1108f5aec5c40f117d570b22	000000d17fa9cd54a4e690140b82f4cf1ffcea61c666a9bbeaa9f1b4db3d9b9e	true
7d	13533313	Jens:join	000000d17fa9cd54a4e690140b82f4cf1ffcea61c666a9bbeaa9f1b4db3d9b9e	0000007065dab2d7e2f3113499c266cd49745d1811ee0b48d6a6f134a2120c52	true
7e	77721412	Daniel:leave	0000007065dab2d7e2f3113499c266cd49745d1811ee0b48d6a6f134a2120c52	0000007192cdc36e70b5bd6fcd994a38d01b69f27bd7a52efd8a2e7516b03f2f	true
7f	18163502	Daniel:join	0000007192cdc36e70b5bd6fcd994a38d01b69f27bd7a52efd8a2e7516b03f2f	000000afba4811f35cbea0c659e6f81a498466402e88c0009518b51cec05eaf4	true
80	2298763	Tine:leave	000000afba4811f35cbea0c659e6f81a498466402e88c0009518b51cec05eaf4	000000ddb751aded820b387303e67b4892bd744c212101f7834a48e032fb0924	true
81	23556476	Emmely:leave	000000ddb751aded820b387303e67b4892bd744c212101f7834a48e032fb0924	000000f3877547ba66984e377022e9d5b07b8b47182d00e3c5d651cc6de4eb1c	true
82	10854477	Jens:leave	000000f3877547ba66984e377022e9d5b07b8b47182d00e3c5d651cc6de4eb1c	00000016d14a4f67bd52b1a40c0e6a6c8f0284b19f7ed1d8aefcda31ec181163	true
83	4741055	Kristian:leave	00000016d14a4f67bd52b1a40c0e6a6c8f0284b19f7ed1d8aefcda31ec181163	00000089cd6b3aafed47def47a26e220c2c84a45dcc6363ed4a0726e03c554d3	true
84	12565293	Daniel:leave	00000089cd6b3aafed47def47a26e220c2c84a45dcc6363ed4a0726e03c554d3	0000006da618f32dd2202b4dc80c56077b3c9b4096b51225e7135b4e35dcf77b	true
85	8501040	Emmely:join	0000006da618f32dd2202b4dc80c56077b3c9b4096b51225e7135b4e35dcf77b	000000dffc698f5b3d11def6b740e78ac5825c3e7563d7062d3eec52f5d9cf0a	true
86	6934683	Emmely:leave	000000dffc698f5b3d11def6b740e78ac5825c3e7563d7062d3eec52f5d9cf0a	0000001d5891f7fb5da1ffa66db287e7ef3f55498de12183582751f3d6fd3511	true
87	37054338	Helge:join	0000001d5891f7fb5da1ffa66db287e7ef3f55498de12183582751f3d6fd3511	000000ba6046d946d82819f145362bc306cdac2883f1598b073c7f24d44a2b76	true
88	21636896	Emmely:join	000000ba6046d946d82819f145362bc306cdac2883f1598b073c7f24d44a2b76	000000d034c7a8d68fd910af9929585f804289e406dfc63f6586f78ec6e31bab	true
89	110853515	Jens:join	000000d034c7a8d68fd910af9929585f804289e406dfc63f6586f78ec6e31bab	00000002f72ab2d78033c0f53f8cfd2fd310231f2563e029e6a4275a516b3d7f	true
8a	9588699	Anders:join	00000002f72ab2d78033c0f53f8cfd2fd310231f2563e029e6a4275a516b3d7f	0000005b59c9636a0ea808af4f2edff2eda5910d1bdf7f050310471ddd0fa5ed	true
8b	1549086	Daniel:join	0000005b59c9636a0ea808af4f2edff2eda5910d1bdf7f050310471ddd0fa5ed	0000001254cceacf16b2f76d4cfc089f69e9e539b168ef69347d4014466dc58c	true
8c	4936790	Tine:join	0000001254cceacf16b2f76d4cfc089f69e9e539b168ef69347d4014466dc58c	000000d0b801e5bcae1ed3c2026144e955184ba73a8fa4b051916a9f505ee3e3	true
8d	12864311	Kristian:join	000000d0b801e5bcae1ed3c2026144e955184ba73a8fa4b051916a9f505ee3e3	000000b3ddaeee63580a6b7eca88d7433c54aa3745c9e887afde2c01f64cecbb	true
